23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
06/02/2023 08:09;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44900,40171;20,9868;20,9938;21,1952;21,5705;21,856;22,0671;-3,36755;-0,63588;238,76;239,437;250,722;255;0;0;0
44900,40174;20,9904;20,9977;21,2;21,5748;21,8586;22,0696;-3,37387;-0,642426;241,702;239,519;249,56;255;0;0;0
44900,40176;20,9955;20,9988;21,1935;21,5737;21,8637;22,078;-3,36555;-0,655296;240,991;240,647;251,554;255;0;0;0
44900,40178;20,9906;20,9952;21,1945;21,575;21,8619;22,0721;-3,37338;-0,645973;242,511;239,032;246,785;255;0;0;0
44900,4018;20,9955;20,9915;21,1907;21,5735;21,864;22,0725;-3,37403;-0,650879;239,738;240,684;249,084;255;0;0;0
44900,40182;20,9959;20,9931;21,1928;21,5789;21,8633;22,0744;-3,37218;-0,652672;242,637;242,094;248,706;255;0;0;0
44900,40184;20,9923;20,9935;21,1928;21,571;21,8657;22,0791;-3,37774;-0,654587;240,127;239,656;251,261;255;0;0;0
44900,40186;20,9829;20,9963;21,1855;21,5681;21,864;22,0754;-3,37756;-0,649956;239,575;240,708;249,461;255;0;0;0
44900,40189;20,9952;21,0039;21,1808;21,5828;21,8633;22,0826;-3,37441;-0,658394;239,126;241,132;249,889;255;0;0;0
