23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
44963,33958;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44896,42427;21,1698;20,9938;21,5967;21,5705;21,856;22,0671;239,004;-0,63588;203,771;239,437;250,722;255;0;0;0
44896,42429;21,1678;20,9977;21,6012;21,5748;21,8586;22,0696;240,478;-0,642426;203,781;239,519;249,56;255;0;0;0
44896,42431;21,1689;20,9988;21,5984;21,5737;21,8637;22,078;240,553;-0,655296;203,776;240,647;251,554;255;0;0;0
44896,42434;21,1693;20,9952;21,6012;21,575;21,8619;22,0721;238,867;-0,645973;203,788;239,032;246,785;255;0;0;0
44896,42436;21,1674;20,9915;21,5963;21,5735;21,864;22,0725;239,989;-0,650879;203,778;240,684;249,084;255;0;0;0
44896,42438;21,1706;20,9931;21,6032;21,5789;21,8633;22,0744;237,735;-0,652672;203,782;242,094;248,706;255;0;0;0
44896,4244;21,1705;20,9935;21,6012;21,571;21,8657;22,0791;242,395;-0,654587;203,769;239,656;251,261;255;0;0;0
44896,42442;21,1662;20,9963;21,6021;21,5681;21,864;22,0754;241,157;-0,649956;203,788;240,708;249,461;255;0;0;0
44896,42444;21,1694;21,0039;21,6038;21,5828;21,8633;22,0826;240,096;-0,658394;203,784;241,132;249,889;255;0;0;0
44896,42446;21,1701;20,9959;21,6045;21,5796;21,8677;22,0849;241,85;-0,663147;203,798;241,351;249,884;255;0;0;0
44896,42448;21,1668;20,9997;21,6039;21,584;21,8693;22,0905;237,416;-0,662827;203,8;241,016;249,746;255;0;0;0
44896,42451;21,1649;21,0004;21,6095;21,5798;21,8681;22,0915;241,242;-0,654434;203,793;242,378;248,394;255;0;0;0
44896,42453;21,1678;21,0026;21,6051;21,5777;21,8672;22,0876;239,167;-0,648491;203,79;240,257;248,35;255;0;0;0
44896,42455;21,1641;21,0002;21,6086;21,5828;21,8693;22,0909;241,055;-0,642647;203,799;240,703;250,339;255;0;0;0
44896,42457;21,1718;20,9939;21,5914;21,566;21,8572;22,0775;241,117;-0,648392;203,783;241,884;250,726;255;0;0;0
