Partida n;46%;;;;Medida 1;Medida 2;Medida 3;Medida 4;;;
Partida 1; 56,80;;;Negro de fumo;56,80%;54,41%;54,87%;54,49%;;;
Partida 2; 54,41;;;Sangue;70,38%;64,32%;61,75%;67,82%;;;
Partida 3; 70,38;;;Chocolate com leite;57,78%;60,51%;58,50%;58,39%;;;Obs: é obrigatório a substituição do ponto por vírgula
Partida 4; 64,32;;;Vinho;71,61%;71,41%;71,80%;72,05%;;;exemplo: 78.00% por 78,00%
Partida 5; 57,78;;;Negro de fumo;56,37%;55,20%;55,42%;55,66%;;;
Partida 6; 60,51;;;Sangue;72,38%;71,57%;73,68%;71,42%;;;
Partida 7; 71,61;;;Chocolate com leite;60,31%;56,95%;57,37%;58,62%;;;
Partida 8; 71,41;;;Vinho;71,67%;69,57%;70,57%;70,21%;;;
Partida 9; 54,87;;;Negro de fumo;52,90%;55,54%;55,37%;54,19%;;;
Partida 10; 54,49;;;Sangue;58,87%;71,67%;68,28%;60,65%;;;
Partida 11; 61,75;;;Chocolate com leite;59,72%;59,64%;59,75%;62,73%;;;
Partida 12; 67,82;;;Vinho;72,86%;72,31%;72,65%;71,91%;;;
Partida 13; 58,50;;;Negro de fumo;58,83%;58,55%;56,13%;58,98%;;;
Partida 14; 58,39;;;Sangue;76,11%;75,10%;72,95%;75,02%;;;
Partida 15; 71,80;;;Chocolate com leite;63,00%;63,00%;61,25%;63,01%;;;
Partida 16; 72,05;;;Vinho;71,07%;70,66%;71,60%;71,13%;;;
Partida 17; 56,37;;;;;;;;;;
Partida 18; 55,20;;;;;;;;;;
Partida 19; 72,38;;;;;;;;;;
Partida 20; 71,57;;;;;;;;;;
Partida 21; 60,31;;;;;;;;;;
Partida 22; 56,95;;;;;;;;;;
Partida 23; 71,67;;;;;;;;;;
Partida 24; 69,57;;;;;;;;;;
Partida 25; 55,42;;;;;;;;;;
Partida 26; 55,66;;;;;;;;;;
Partida 27; 73,68;;;;;;;;;;
Partida 28; 71,42;;;;;;;;;;
Partida 29; 57,37;;;;;;;;;;
Partida 30; 58,62;;;;;;;;;;
Partida 31; 70,57;;;;;;;;;;
Partida 32; 70,21;;;;;;;;;;
Partida 33; 52,90;;;;;;;;;;
Partida 34; 55,54;;;;;;;;;;
Partida 35; 58,87;;;;;;;;;;
Partida 36; 71,67;;;;;;;;;;
Partida 37; 59,72;;;;;;;;;;
Partida 38; 59,64;;;;;;;;;;
Partida 39; 72,86;;;;;;;;;;
Partida 40; 72,31;;;;;;;;;;
Partida 41; 55,37;;;;;;;;;;
Partida 42; 54,19;;;;;;;;;;
Partida 43; 68,28;;;;;;;;;;
Partida 44; 60,65;;;;;;;;;;
Partida 45; 59,75;;;;;;;;;;
Partida 46; 62,73;;;;;;;;;;
Partida 47; 72,65;;;;;;;;;;
Partida 48; 71,91;;;;;;;;;;
Partida 49; 58,83;;;;;;;;;;
Partida 50; 58,55;;;;;;;;;;
Partida 51; 76,11;;;;;;;;;;
Partida 52; 75,10;;;;;;;;;;
Partida 53; 63,00;;;;;;;;;;
Partida 54; 63,00;;;;;;;;;;
Partida 55; 71,07;;;;;;;;;;
Partida 56; 70,66;;;;;;;;;;
Partida 57; 56,13;;;;;;;;;;
Partida 58; 58,98;;;;;;;;;;
Partida 59; 72,95;;;;;;;;;;
Partida 60; 75,02;;;;;;;;;;
Partida 61; 61,25;;;;;;;;;;
Partida 62; 63,01;;;;;;;;;;
Partida 63; 71,60;;;;;;;;;;
Partida 64; 71,13;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
