23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
44963,33958;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0412""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44897,31857;20,9985;20,976;21,5731;21,5566;21,8432;22,0785;239,191;238,466;203,796;241,077;247,868;255;0;0;0
44897,31859;20,9957;20,9752;21,5722;21,5497;21,8378;22,0798;238,97;240,622;203,797;239,732;248,866;255;0;0;0
44897,31861;21,0028;20,9805;21,5845;21,5659;21,8509;22,0852;240,83;240,093;203,806;239,345;249,76;255;0;0;0
44897,31863;20,9985;20,977;21,5752;21,5538;21,8458;22,0799;240,749;239,531;203,8;242,861;250,84;255;0;0;0
44897,31866;21,0019;20,9879;21,5877;21,5604;21,8457;22,0942;241,398;239,118;203,807;240,144;251,043;255;0;0;0
44897,31868;20,9995;20,9881;21,584;21,5576;21,8492;22,0915;240,471;238,876;203,797;241,714;250,83;255;0;0;0
44897,3187;21,0066;20,999;21,5977;21,5733;21,8565;22,0945;240,553;241,248;203,795;239,69;249,508;255;0;0;0
44897,31872;21,0016;20,9886;21,5941;21,5617;21,8531;22,0964;238,379;240,526;203,797;239,567;250,822;255;0;0;0
44897,31874;21,0021;20,9888;21,5896;21,5592;21,8518;22,0941;242,397;240,164;203,795;241,627;252,402;255;0;0;0
44897,31876;21,0038;20,981;21,5811;21,5564;21,8421;22,089;239,589;239,287;203,793;242,185;249,961;255;0;0;0
44897,31878;21,0061;20,9866;21,5881;21,5647;21,8517;22,0909;238,861;238,031;203,793;242,819;249,888;255;0;0;0
44897,31881;21,0082;20,9828;21,5799;21,5557;21,8451;22,092;239,212;239,044;203,802;240,426;249,706;255;0;0;0
44897,31883;21,0002;20,9765;21,5784;21,5535;21,8401;22,0865;240,154;238,711;203,801;242,123;250,526;255;0;0;0
44897,31885;21,0025;20,9742;21,5747;21,5545;21,8491;22,0888;240,38;239,091;203,788;242,045;247,679;255;0;0;0
44897,31887;20,9971;20,9779;21,5814;21,5551;21,8413;22,0844;239,361;241,866;203,792;243,11;248,231;255;0;0;0
44897,31889;21,0037;20,9853;21,5864;21,5692;21,8514;22,0886;240,889;240,719;203,778;240,388;249,227;255;0;0;0
44897,31891;21,0002;20,9816;21,5815;21,5569;21,8455;22,0889;239,469;239,601;203,791;241,673;250,538;255;0;0;0
44897,31893;21,0006;20,987;21,5792;21,5631;21,8479;22,0914;239,92;239,131;203,79;241,24;250,028;255;0;0;0
44897,31896;20,999;20,9874;21,5871;21,5703;21,8484;22,0985;238,661;240,341;203,808;241,867;251,261;255;0;0;0
44897,31898;21,002;20,9875;21,5845;21,5595;21,8511;22,0946;239,29;239,929;203,796;241,124;247,765;255;0;0;0
44897,319;20,9987;20,993;21,5919;21,5697;21,8521;22,093;240,141;239,058;203,796;240,461;250,277;255;0;0;0
44897,31902;21,0019;20,9862;21,5886;21,5615;21,8461;22,0986;241,669;240,802;203,8;241,256;250,865;255;0;0;0
44897,31904;20,9977;20,9785;21,5809;21,5649;21,8569;22,0991;241,342;240,365;203,812;241,234;250,978;255;0;0;0
44897,31906;21,0017;20,9877;21,5888;21,5652;21,8528;22,0932;241,846;239,869;203,796;242,103;250,096;255;0;0;0
44897,31908;21,0058;20,9827;21,5855;21,5602;21,8483;22,097;238,471;239,379;203,824;240,146;249,683;255;0;0;0
44897,31911;21,0078;20,9825;21,5856;21,5636;21,8483;22,1051;239,861;237,905;203,806;240,929;249,807;255;0;0;0
44897,31913;21,0131;20,9805;21,5827;21,5578;21,8456;22,1028;239,995;240,099;203,798;241,855;249,266;255;0;0;0
44897,31915;21,0088;20,9862;21,5832;21,5619;21,852;22,1024;241,848;239,644;203,8;239,35;250,75;255;0;0;0
44897,31917;21,0123;20,9856;21,5829;21,5549;21,8399;22,1006;241,459;239,534;203,82;238,938;249,884;255;0;0;0
44897,31919;21,0066;20,9781;21,5849;21,5645;21,8474;22,099;238,827;241,238;203,803;238,234;248,984;255;0;0;0
44897,31921;21,004;20,9811;21,5761;21,5536;21,8427;22,0944;241,379;240,555;203,791;241,137;245,854;255;0;0;0
44897,31923;21,0036;20,9876;21,5774;21,5599;21,8452;22,0933;240,452;241,286;203,797;240,593;247,134;255;0;0;0
44897,31925;20,9987;20,9805;21,5766;21,5609;21,844;22,1002;240,602;239,545;203,803;240,335;249,534;255;0;0;0
44897,31928;21,0027;20,9892;21,5841;21,56;21,8463;22,1034;241,886;241,249;203,807;241,809;249,69;255;0;0;0
44897,3193;20,997;20,981;21,5884;21,5674;21,8538;22,0977;241,631;241,613;203,799;239,145;249,028;255;0;0;0
44897,31932;21,0032;20,976;21,5838;21,5602;21,8382;22,0993;239,241;241,839;203,805;242,833;251,106;255;0;0;0
44897,31934;21,0022;20,9887;21,5825;21,5671;21,846;22,104;239,963;240,22;203,818;240,527;248,231;255;0;0;0
44897,31936;20,9984;20,979;21,5801;21,567;21,8462;22,1013;239,351;240,053;203,804;241,891;250,002;255;0;0;0
44897,31938;21,0012;20,9829;21,5841;21,5593;21,8411;22,1035;238,805;241,528;203,802;241,802;251,454;255;0;0;0
