Valor 1 : Tensão efectiva T3 (0s) [Dispositivo-2]
Número;Tempo;Valor 1-avg[V];Valor 1-min[V];Valor 1-max[V];
136;06/12/22 10:38:32'319;218,700;;;
137;06/12/22 10:38:32'800;218,711;;;
138;06/12/22 10:38:33'280;218,728;;;
139;06/12/22 10:38:33'759;218,745;;;
140;06/12/22 10:38:34'240;218,747;;;
141;06/12/22 10:38:34'559;218,760;;;
142;06/12/22 10:38:35'039;218,724;;;
143;06/12/22 10:38:35'359;218,719;;;
144;06/12/22 10:38:35'839;218,741;;;
145;06/12/22 10:38:36'319;218,717;;;
146;06/12/22 10:38:36'799;218,724;;;
147;06/12/22 10:38:38'159;218,772;;;
148;06/12/22 10:38:38'639;218,776;;;
149;06/12/22 10:38:39'119;218,663;;;
150;06/12/22 10:38:39'598;218,745;;;
151;06/12/22 10:38:40'078;218,693;;;
152;06/12/22 10:38:40'558;218,728;;;
153;06/12/22 10:38:41'038;218,759;;;
154;06/12/22 10:38:41'678;218,656;;;
155;06/12/22 10:38:42'158;218,752;;;
156;06/12/22 10:38:42'638;218,741;;;
157;06/12/22 10:38:43'118;218,763;;;
158;06/12/22 10:38:43'599;218,803;;;
159;06/12/22 10:38:43'918;218,725;;;
160;06/12/22 10:38:44'398;218,754;;;
161;06/12/22 10:38:44'878;218,724;;;
162;06/12/22 10:38:45'358;218,696;;;
163;06/12/22 10:38:45'837;218,698;;;
164;06/12/22 10:38:46'317;218,733;;;
165;06/12/22 10:38:46'797;218,721;;;
166;06/12/22 10:38:47'277;218,769;;;
167;06/12/22 10:38:47'917;218,753;;;
168;06/12/22 10:38:48'397;218,734;;;
169;06/12/22 10:38:48'877;218,752;;;
170;06/12/22 10:38:49'517;218,701;;;
171;06/12/22 10:38:49'997;218,782;;;
172;06/12/22 10:38:50'477;218,731;;;
173;06/12/22 10:38:50'957;218,734;;;
174;06/12/22 10:38:51'436;218,730;;;
175;06/12/22 10:38:51'755;218,696;;;
176;06/12/22 10:38:52'235;218,750;;;
177;06/12/22 10:38:52'716;218,768;;;
178;06/12/22 10:38:53'356;218,696;;;
179;06/12/22 10:38:53'836;218,693;;;
180;06/12/22 10:38:54'316;218,700;;;
181;06/12/22 10:38:54'956;218,741;;;
182;06/12/22 10:38:55'436;218,674;;;
183;06/12/22 10:38:55'916;218,636;;;
184;06/12/22 10:38:56'556;218,759;;;
185;06/12/22 10:38:57'036;218,771;;;
186;06/12/22 10:38:57'515;218,656;;;
187;06/12/22 10:38:57'995;218,714;;;
188;06/12/22 10:38:58'475;218,779;;;
189;06/12/22 10:38:58'795;218,728;;;
190;06/12/22 10:38:59'275;218,730;;;
191;06/12/22 10:38:59'755;218,748;;;
192;06/12/22 10:39:00'395;218,753;;;
193;06/12/22 10:39:00'875;218,705;;;
194;06/12/22 10:39:01'355;218,686;;;
195;06/12/22 10:39:01'851;218,712;;;
196;06/12/22 10:39:02'331;218,657;;;
197;06/12/22 10:39:02'651;218,793;;;
198;06/12/22 10:39:03'130;218,764;;;
199;06/12/22 10:39:03'465;218,614;;;
200;06/12/22 10:39:03'946;218,699;;;
201;06/12/22 10:39:04'266;218,649;;;
202;06/12/22 10:39:04'746;218,662;;;
203;06/12/22 10:39:05'226;218,710;;;
204;06/12/22 10:39:05'706;218,645;;;
205;06/12/22 10:39:06'186;218,641;;;
206;06/12/22 10:39:06'826;218,707;;;
207;06/12/22 10:39:07'306;218,657;;;
208;06/12/22 10:39:07'786;218,696;;;
209;06/12/22 10:39:08'426;218,578;;;
210;06/12/22 10:39:08'906;218,615;;;
211;06/12/22 10:39:09'385;218,685;;;
212;06/12/22 10:39:10'025;218,612;;;
213;06/12/22 10:39:10'505;218,737;;;
214;06/12/22 10:39:10'985;218,631;;;
215;06/12/22 10:39:11'305;218,666;;;
216;06/12/22 10:39:11'785;218,655;;;
217;06/12/22 10:39:12'265;218,699;;;
218;06/12/22 10:39:12'761;218,727;;;
219;06/12/22 10:39:13'241;218,433;;;
220;06/12/22 10:39:13'721;218,655;;;
221;06/12/22 10:39:14'201;218,640;;;
222;06/12/22 10:39:14'521;218,717;;;
223;06/12/22 10:39:15'001;218,701;;;
224;06/12/22 10:39:15'480;218,738;;;
225;06/12/22 10:39:15'960;218,673;;;
226;06/12/22 10:39:16'440;218,631;;;
227;06/12/22 10:39:17'080;218,697;;;
228;06/12/22 10:39:17'560;218,658;;;
229;06/12/22 10:39:18'040;218,715;;;
230;06/12/22 10:39:18'520;218,763;;;
231;06/12/22 10:39:19'000;218,694;;;
232;06/12/22 10:39:19'480;218,759;;;
233;06/12/22 10:39:20'119;218,736;;;
234;06/12/22 10:39:20'600;218,749;;;
235;06/12/22 10:39:21'080;218,766;;;
236;06/12/22 10:39:21'558;218,671;;;
237;06/12/22 10:39:22'038;218,751;;;
238;06/12/22 10:39:22'518;218,801;;;
239;06/12/22 10:39:22'999;218,774;;;
240;06/12/22 10:39:23'479;218,710;;;
241;06/12/22 10:39:23'959;218,702;;;
242;06/12/22 10:39:24'439;218,752;;;
243;06/12/22 10:39:24'759;218,791;;;
244;06/12/22 10:39:25'239;218,741;;;
245;06/12/22 10:39:25'719;218,799;;;
246;06/12/22 10:39:26'199;218,774;;;
247;06/12/22 10:39:26'679;218,754;;;
248;06/12/22 10:39:27'158;218,680;;;
249;06/12/22 10:39:27'637;218,780;;;
250;06/12/22 10:39:28'118;218,688;;;
251;06/12/22 10:39:28'758;218,810;;;
252;06/12/22 10:39:29'238;218,741;;;
253;06/12/22 10:39:29'718;218,672;;;
254;06/12/22 10:39:30'198;218,753;;;
255;06/12/22 10:39:30'678;218,744;;;
256;06/12/22 10:39:31'157;218,758;;;
257;06/12/22 10:39:31'798;218,750;;;
258;06/12/22 10:39:32'278;218,666;;;
259;06/12/22 10:39:32'758;218,716;;;
260;06/12/22 10:39:34'053;218,707;;;
261;06/12/22 10:39:34'533;218,724;;;
262;06/12/22 10:39:35'013;218,675;;;
263;06/12/22 10:39:35'492;218,646;;;
264;06/12/22 10:39:35'973;218,698;;;
265;06/12/22 10:39:36'613;218,719;;;
266;06/12/22 10:39:37'093;218,681;;;
267;06/12/22 10:39:37'573;218,666;;;
268;06/12/22 10:39:38'053;218,672;;;
269;06/12/22 10:39:38'533;218,707;;;
270;06/12/22 10:39:39'013;218,680;;;
271;06/12/22 10:39:39'492;218,681;;;
272;06/12/22 10:39:39'972;218,685;;;
273;06/12/22 10:39:40'293;218,653;;;
274;06/12/22 10:39:40'772;218,674;;;
275;06/12/22 10:39:41'252;218,643;;;
276;06/12/22 10:39:41'732;218,751;;;
277;06/12/22 10:39:42'227;218,701;;;
278;06/12/22 10:39:42'708;218,773;;;
279;06/12/22 10:39:43'188;218,655;;;
280;06/12/22 10:39:43'668;218,736;;;
281;06/12/22 10:39:44'148;218,644;;;
282;06/12/22 10:39:44'628;218,698;;;
283;06/12/22 10:39:45'108;218,767;;;
284;06/12/22 10:39:45'603;218,696;;;
285;06/12/22 10:39:45'922;218,635;;;
286;06/12/22 10:39:46'403;218,706;;;
287;06/12/22 10:39:46'883;218,668;;;
288;06/12/22 10:39:47'363;218,696;;;
289;06/12/22 10:39:47'843;218,708;;;
290;06/12/22 10:39:48'324;218,657;;;
291;06/12/22 10:39:48'803;218,728;;;
