23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
44963,33958;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44902,4135;21,1698;20,9938;21,5967;21,5705;22,0092;22,0671;239,004;-0,63588;203,771;239,437;239,582;255;0;0;0
44902,41353;21,1678;20,9977;21,6012;21,5748;22,0084;22,0696;240,478;-0,642426;203,781;239,519;240,346;255;0;0;0
44902,41355;21,1689;20,9988;21,5984;21,5737;22,014;22,078;240,553;-0,655296;203,776;240,647;241,5;255;0;0;0
44902,41357;21,1693;20,9952;21,6012;21,575;22,0069;22,0721;238,867;-0,645973;203,788;239,032;240,317;255;0;0;0
44902,41359;21,1674;20,9915;21,5963;21,5735;22,0157;22,0725;239,989;-0,650879;203,778;240,684;238,337;255;0;0;0
44902,41362;21,1706;20,9931;21,6032;21,5789;22,0172;22,0744;237,735;-0,652672;203,782;242,094;240,992;255;0;0;0
44902,41364;21,1705;20,9935;21,6012;21,571;22,0144;22,0791;242,395;-0,654587;203,769;239,656;240,879;255;0;0;0
44902,41366;21,1662;20,9963;21,6021;21,5681;22,0163;22,0754;241,157;-0,649956;203,788;240,708;240,761;255;0;0;0
44902,41368;21,1694;21,0039;21,6038;21,5828;22,0045;22,0826;240,096;-0,658394;203,784;241,132;241,273;255;0;0;0
44902,4137;21,1701;20,9959;21,6045;21,5796;22,0069;22,0849;241,85;-0,663147;203,798;241,351;240,018;255;0;0;0
44902,41372;21,1668;20,9997;21,6039;21,584;22,0077;22,0905;237,416;-0,662827;203,8;241,016;240,167;255;0;0;0
44902,41374;21,1649;21,0004;21,6095;21,5798;22,0052;22,0915;241,242;-0,654434;203,793;242,378;238,86;255;0;0;0
44902,41377;21,1678;21,0026;21,6051;21,5777;22,0054;22,0876;239,167;-0,648491;203,79;240,257;240,582;255;0;0;0
44902,41379;21,1641;21,0002;21,6086;21,5828;22,0088;22,0909;241,055;-0,642647;203,799;240,703;239,164;255;0;0;0
44902,41381;21,1718;20,9939;21,5914;21,566;22,0094;22,0775;241,117;-0,648392;203,783;241,884;241,782;255;0;0;0
44902,41383;21,1645;20,9887;21,5971;21,5691;22,0118;22,0764;239,391;-0,646088;203,795;240,404;239,993;255;0;0;0
44902,41385;21,1674;20,9895;21,595;21,569;22,0079;22,0848;240,592;-0,651367;203,791;237,941;241,193;255;0;0;0
44902,41387;21,162;20,9883;21,5909;21,5752;22,0128;22,0884;240,766;-0,654762;203,803;240,601;240,187;255;0;0;0
44902,41389;21,1615;20,9913;21,5961;21,5639;22,0066;22,0863;238,588;-0,647537;203,789;240,455;241,784;255;0;0;0
44902,41392;21,1701;20,9913;21,5895;21,5764;22,0066;22,0847;240,446;-0,653725;203,788;239,424;239,322;255;0;0;0
44902,41394;21,1693;20,9903;21,59;21,5725;22,0092;22,0848;240,669;-0,64991;203,794;241,672;239,161;255;0;0;0
44902,41396;21,1661;20,9938;21,5969;21,5684;22,0124;22,0811;239,918;-0,638702;203,786;240,2;240,48;255;0;0;0
44902,41398;21,1739;20,9905;21,5864;21,5697;22,0034;22,0778;241,097;-0,652718;203,801;239,629;238,361;255;0;0;0
44902,414;21,1754;20,987;21,5876;21,5633;22,0085;22,0762;239,327;-0,644058;203,78;240,545;238,938;255;0;0;0
44902,41402;21,1693;20,9869;21,5883;21,5635;22,0094;22,0747;239,532;-0,641685;203,8;237,863;240,403;255;0;0;0
