Partida n;46%;;;;Medida 1;Medida 2;Medida 3;Medida 4;;;
Partida 1; 65,24;;;Negro de fumo;65,24%;65,68%;64,56%;65,85%;;;
Partida 2; 65,68;;;Sangue;81,06%;81,92%;82,22%;81,66%;;;
Partida 3; 81,06;;;Chocolate com leite;66,49%;67,63%;66,05%;68,21%;;;Obs: é obrigatório a substituição do ponto por vírgula
Partida 4; 81,92;;;Vinho;77,40%;77,67%;78,19%;78,29%;;;exemplo: 78.00% por 78,00%
Partida 5; 66,49;;;Negro de fumo;65,15%;64,83%;65,33%;65,11%;;;
Partida 6; 67,63;;;Sangue;81,92%;81,62%;82,17%;81,77%;;;
Partida 7; 77,40;;;Chocolate com leite;67,09%;68,84%;65,84%;69,27%;;;
Partida 8; 77,67;;;Vinho;77,62%;77,23%;77,62%;77,99%;;;
Partida 9; 64,56;;;Negro de fumo;65,82%;65,43%;65,05%;66,10%;;;
Partida 10; 65,85;;;Sangue;81,38%;80,96%;81,38%;81,10%;;;
Partida 11; 82,22;;;Chocolate com leite;68,23%;66,59%;67,54%;68,70%;;;
Partida 12; 81,66;;;Vinho;77,52%;77,68%;77,96%;77,58%;;;
Partida 13; 66,05;;;Negro de fumo;64,64%;66,05%;64,18%;66,90%;;;
Partida 14; 68,21;;;Sangue;80,11%;79,49%;81,24%;79,92%;;;
Partida 15; 78,19;;;Chocolate com leite;68,17%;66,41%;67,05%;66,92%;;;
Partida 16; 78,29;;;Vinho;77,52%;77,20%;77,57%;77,76%;;;
Partida 17; 65,15;;;Negro de fumo;66,78%;65,60%;66,22%;66,31%;;;
Partida 18; 64,83;;;Sangue;78,92%;77,17%;78,28%;77,27%;;;
Partida 19; 81,92;;;Chocolate com leite;67,81%;65,66%;69,52%;67,50%;;;
Partida 20; 81,62;;;Vinho;77,98%;77,75%;78,05%;78,24%;;;
Partida 21; 67,09;;;;;;;;;;
Partida 22; 68,84;;;;;;;;;;
Partida 23; 77,62;;;;;;;;;;
Partida 24; 77,23;;;;;;;;;;
Partida 25; 65,33;;;;;;;;;;
Partida 26; 65,11;;;;;;;;;;
Partida 27; 82,17;;;;;;;;;;
Partida 28; 81,77;;;;;;;;;;
Partida 29; 65,84;;;;;;;;;;
Partida 30; 69,27;;;;;;;;;;
Partida 31; 77,62;;;;;;;;;;
Partida 32; 77,99;;;;;;;;;;
Partida 33; 65,82;;;;;;;;;;
Partida 34; 65,43;;;;;;;;;;
Partida 35; 81,38;;;;;;;;;;
Partida 36; 80,96;;;;;;;;;;
Partida 37; 68,23;;;;;;;;;;
Partida 38; 66,59;;;;;;;;;;
Partida 39; 77,52;;;;;;;;;;
Partida 40; 77,68;;;;;;;;;;
Partida 41; 65,05;;;;;;;;;;
Partida 42; 66,10;;;;;;;;;;
Partida 43; 81,38;;;;;;;;;;
Partida 44; 81,10;;;;;;;;;;
Partida 45; 67,54;;;;;;;;;;
Partida 46; 68,70;;;;;;;;;;
Partida 47; 77,96;;;;;;;;;;
Partida 48; 77,58;;;;;;;;;;
Partida 49; 64,64;;;;;;;;;;
Partida 50; 66,05;;;;;;;;;;
Partida 51; 80,11;;;;;;;;;;
Partida 52; 79,49;;;;;;;;;;
Partida 53; 68,17;;;;;;;;;;
Partida 54; 66,41;;;;;;;;;;
Partida 55; 77,52;;;;;;;;;;
Partida 56; 77,20;;;;;;;;;;
Partida 57; 64,18;;;;;;;;;;
Partida 58; 66,90;;;;;;;;;;
Partida 59; 81,24;;;;;;;;;;
Partida 60; 79,92;;;;;;;;;;
Partida 61; 67,05;;;;;;;;;;
Partida 62; 66,92;;;;;;;;;;
Partida 63; 77,57;;;;;;;;;;
Partida 64; 77,76;;;;;;;;;;
Partida 65; 66,78;;;;;;;;;;
Partida 66; 65,60;;;;;;;;;;
Partida 67; 78,92;;;;;;;;;;
Partida 68; 77,17;;;;;;;;;;
Partida 69; 67,81;;;;;;;;;;
Partida 70; 65,66;;;;;;;;;;
Partida 71; 77,98;;;;;;;;;;
Partida 72; 77,75;;;;;;;;;;
Partida 73; 66,22;;;;;;;;;;
Partida 74; 66,31;;;;;;;;;;
Partida 75; 78,28;;;;;;;;;;
Partida 76; 77,27;;;;;;;;;;
Partida 77; 69,52;;;;;;;;;;
Partida 78; 67,50;;;;;;;;;;
Partida 79; 78,05;;;;;;;;;;
Partida 80; 78,24;;;;;;;;;;
