23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
06/02/2023 08:09;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44901,39749;20,9774;20,9785;21,5899;21,5328;21,8569;22,0868;-3,36787;-0,647362;203,817;243,62554;248,415;255;0;0;0
44901,39751;20,9781;20,9839;21,5797;21,5208;21,8471;22,0871;-3,36187;-0,642334;203,79;211,9103;248,421;255;0;0;0
44901,39754;20,9666;20,9831;21,5827;21,527;21,8457;22,0856;-3,37399;-0,644424;203,793;208,125;249,767;255;0;0;0
44901,39756;20,9588;20,976;21,5731;21,5251;21,8432;22,0785;-3,38625;-0,655861;203,796;242,439;247,868;255;0;0;0
44901,39758;20,9665;20,9752;21,5722;21,5258;21,8378;22,0798;-3,35857;-0,638664;203,797;239,363;248,866;255;0;0;0
44901,3976;20,9662;20,9805;21,5845;21,528;21,8509;22,0852;-3,35987;-0,656853;203,806;240,6;249,76;255;0;0;0
44901,39762;20,9672;20,977;21,5752;21,5298;21,8458;22,0799;-3,36745;-0,647377;203,8;241,943;250,84;255;0;0;0
44901,39764;20,9688;20,9879;21,5877;21,5335;21,8457;22,0942;-3,37321;-0,643776;203,807;240,88;251,043;255;0;0;0
44901,39766;20,9752;20,9881;21,584;21,5374;21,8492;22,0915;-3,36681;-0,661995;203,797;241,761;250,83;255;0;0;0
44901,39769;20,9873;20,999;21,5977;21,533;21,8565;22,0945;-3,35693;-0,642143;203,795;242,087;249,508;255;0;0;0
44901,39771;20,9805;20,9886;21,5941;21,5373;21,8531;22,0964;-3,3789;-0,660225;203,797;242,539;250,822;255;0;0;0
44901,39773;20,9719;20,9888;21,5896;21,5327;21,8518;22,0941;-3,37194;-0,639816;203,795;241,046;252,402;255;0;0;0
44901,39775;20,9749;20,981;21,5811;21,535;21,8421;22,089;-3,37277;-0,648079;203,793;241,022;249,961;255;0;0;0
44901,39777;20,978;20,9866;21,5881;21,5301;21,8517;22,0909;-3,37645;-0,652115;203,793;240,845;249,888;255;0;0;0
44901,39779;20,9775;20,9828;21,5799;21,5344;21,8451;22,092;-3,39527;-0,646614;203,802;241,687;249,706;255;0;0;0
44901,39781;20,9659;20,9765;21,5784;21,5287;21,8401;22,0865;-3,38191;-0,644585;203,801;239,928;250,526;255;0;0;0
44901,39784;20,9659;20,9742;21,5747;21,527;21,8491;22,0888;-3,37256;-0,648773;203,788;240,946;247,679;255;0;0;0
44901,39786;20,9665;20,9779;21,5814;21,5275;21,8413;22,0844;-3,38016;-0,646912;203,792;240,675;248,231;255;0;0;0
44901,39788;20,9804;20,9853;21,5864;21,5324;21,8514;22,0886;-3,39035;-0,660248;203,778;238,555;249,227;255;0;0;0
44901,3979;20,9795;20,9816;21,5815;21,5412;21,8455;22,0889;-3,37014;-0,653961;203,791;240,442;250,538;255;0;0;0
44901,39792;20,9788;20,987;21,5792;21,5359;21,8479;22,0914;-3,37074;-0,656921;203,79;240,235;250,028;255;0;0;0
44901,39794;20,9825;20,9874;21,5871;21,5464;21,8484;22,0985;-3,36755;-0,644684;203,808;240,671;251,261;255;0;0;0
44901,39796;20,9755;20,9875;21,5845;21,5386;21,8511;22,0946;-3,37281;-0,645432;203,796;239,699;247,765;255;0;0;0
44901,39798;20,9818;20,993;21,5919;21,5406;21,8521;22,093;-3,37682;-0,656799;203,796;240,702;250,277;255;0;0;0
44901,39801;20,9756;20,9862;21,5886;21,546;21,8461;22,0986;-3,36575;-0,642624;203,8;241,045;250,865;255;0;0;0
44901,39803;20,9675;20,9785;21,5809;21,5305;21,8569;22,0991;-3,37472;-0,655365;203,812;242,081;250,978;255;0;0;0
44901,39805;20,979;20,9877;21,5888;21,5352;21,8528;22,0932;-3,36919;-0,640923;203,796;241,264;250,096;255;0;0;0
44901,39807;20,9803;20,9827;21,5855;21,536;21,8483;22,097;-3,38069;-0,656021;203,824;240,81;249,683;255;0;0;0
44901,39809;20,9741;20,9825;21,5856;21,5305;21,8483;22,1051;-3,37143;-0,645378;203,806;240,244;249,807;255;0;0;0
44901,39811;20,9775;20,9805;21,5827;21,5279;21,8456;22,1028;-3,37697;-0,653313;203,798;239,27;249,266;255;0;0;0
44901,39813;20,9704;20,9862;21,5832;21,5327;21,852;22,1024;-3,36519;-0,62822;203,8;241,417;250,75;255;0;0;0
44901,39816;20,9695;20,9856;21,5829;21,5369;21,8399;22,1006;-3,36989;-0,647713;203,82;241,459;249,884;255;0;0;0
44901,39818;20,9656;20,9781;21,5849;21,5326;21,8474;22,099;-3,38154;-0,649086;203,803;241,439;248,984;255;0;0;0
44901,3982;20,9706;20,9811;21,5761;21,5393;21,8427;22,0944;-3,38149;-0,652359;203,791;242,379;245,854;255;0;0;0
44901,39822;20,9732;20,9876;21,5774;21,5444;21,8452;22,0933;-3,36017;-0,647278;203,797;240,67;247,134;255;0;0;0
44901,39824;20,9721;20,9805;21,5766;21,543;21,844;22,1002;-3,37932;-0,653809;203,803;239,661;249,534;255;0;0;0
44901,39826;20,976;20,9892;21,5841;21,5435;21,8463;22,1034;-3,37109;-0,648087;203,807;239,836;249,69;255;0;0;0
44901,39828;20,9746;20,981;21,5884;21,5387;21,8538;22,0977;-3,37486;-0,650757;203,799;240,649;249,028;255;0;0;0
44901,39831;20,9715;20,976;21,5838;21,54;21,8382;22,0993;-3,36252;-0,654556;203,805;241,353;251,106;255;0;0;0
44901,39833;20,9766;20,9887;21,5825;21,5353;21,846;22,104;-3,35686;-0,648827;203,818;241,641;248,231;255;0;0;0
44901,39835;20,9767;20,979;21,5801;21,537;21,8462;22,1013;-3,37237;-0,652504;203,804;240,458;250,002;255;0;0;0
44901,39837;20,9752;20,9829;21,5841;21,5351;21,8411;22,1035;-3,36759;-0,639282;203,802;239,478;251,454;255;0;0;0
44901,39839;20,969;20,9861;21,5798;21,5355;21,8403;22,1036;-3,38318;-0,651726;203,805;240,164;251,926;255;0;0;0
44901,39841;20,9693;20,9776;21,5793;21,5363;21,8456;22,0947;-3,38343;-0,642509;203,811;240,229;251,879;255;0;0;0
44901,39843;20,9739;20,9759;21,58;21,5326;21,8453;22,1017;-3,38463;-0,647148;203,803;239,429;249,02;255;0;0;0
44901,39846;20,9783;20,9867;21,5856;21,5373;21,8515;22,1114;-3,38795;-0,643456;203,783;240,903;248,125;255;0;0;0
44901,39848;20,972;20,9891;21,5809;21,5314;21,849;22,105;-3,38149;-0,643105;203,793;239,603;248,577;255;0;0;0
44901,3985;20,9771;20,9955;21,5896;21,5364;21,8482;22,1091;-3,37902;-0,643967;203,805;242,611;248,361;255;0;0;0
44901,39852;20,9821;20,9921;21,597;21,5339;21,8547;22,1178;-3,38573;-0,659233;203,796;241,86;251,35;255;0;0;0
44901,39854;20,9813;20,9857;21,5912;21,5382;21,85;22,1114;-3,37168;-0,639915;203,806;241,519;249,974;255;0;0;0
44901,39856;20,98;20,9894;21,594;21,5373;21,8593;22,1213;-3,40215;-0,646095;203,791;241,66;248,972;255;0;0;0
44901,39858;20,9741;20,9859;21,5869;21,5401;21,848;22,1071;-3,37537;-0,63694;203,807;192,757;251,6;255;0;0;0
44901,39861;20,9712;20,9887;21,5905;21,5444;21,8489;22,1121;-3,38088;-0,652222;203,799;194,075;248,764;255;0;0;0
44901,39863;20,9821;20,9922;21,5943;21,5469;21,8538;22,1146;-3,3893;-0,657135;203,818;210,979;248,683;255;0;0;0
44901,39865;20,9753;20,9878;21,5886;21,5398;21,8568;22,1255;-3,37701;-0,663216;203,791;214,551;250,197;255;0;0;0
44901,39867;20,981;20,987;21,5862;21,5471;21,8512;22,1161;-3,38585;-0,650558;203,821;212,9;248,98;255;0;0;0
44901,39869;20,9801;20,991;21,5934;21,5416;21,8539;22,1191;-3,37794;-0,654961;203,803;212,2;249,602;255;0;0;0
44901,39871;20,9808;20,9863;21,5862;21,5447;21,8491;22,1165;-3,3989;-0,650513;203,799;214,266;247,931;255;0;0;0
44901,39873;20,9756;20,9824;21,5812;21,5399;21,8514;22,118;-3,38718;-0,652306;203,809;213,741;251,766;255;0;0;0
44901,39875;20,9689;20,98;21,5813;21,5438;21,8449;22,1116;-3,38102;-0,65625;203,803;213,306;250,605;255;0;0;0
44901,39878;20,9754;20,9871;21,5866;21,5489;21,8433;22,1111;-3,37873;-0,650688;203,813;214,54;250,624;255;0;0;0
44901,3988;20,9649;20,9825;21,5812;21,5366;21,8375;22,1129;-3,37965;-0,651085;203,802;211,995;250,357;255;0;0;0
44901,39882;20,9719;20,9843;21,5792;21,5391;21,8432;22,1127;-3,38287;-0,652931;203,813;213,498;252,26;255;0;0;0
44901,39884;20,9817;20,9946;21,5914;21,5423;21,8601;22,1257;-3,38257;-0,661003;203,817;213,536;250,286;255;0;0;0
44901,39886;20,9789;20,9968;21,5966;21,5375;21,8512;22,1325;-3,39183;-0,65535;203,814;212,511;251,134;255;0;0;0
44901,39888;20,9861;20,9889;21,599;21,5416;21,8572;22,1282;-3,38012;-0,652466;203,821;213,79;249,351;255;0;0;0
44901,3989;20,9839;20,988;21,5886;21,5401;21,8519;22,1189;-3,38709;-0,654381;203,806;241,468;251,312;255;0;0;0
44901,39893;20,9882;20,9948;21,5881;21,5379;21,8542;22,1328;-3,39333;-0,663834;203,817;240,649;248,152;255;0;0;0
44901,39895;20,9805;20,9931;21,5907;21,5381;21,8485;22,1246;-3,38834;-0,653107;203,805;242,424;251,187;255;0;0;0
44901,39897;20,9657;20,9847;21,582;21,5429;21,842;22,1238;-3,38574;-0,652466;203,82;239,681;249,138;255;0;0;0
44901,39899;20,9658;20,9833;21,585;21,5404;21,8459;22,1194;-3,38577;-0,645782;203,818;240,962;251,665;255;0;0;0
44901,39901;20,9716;20,9908;21,5959;21,5399;21,8506;22,1202;-3,37673;-0,656502;203,831;242,282;248,778;255;0;0;0
44901,39903;20,9673;20,9868;21,58;21,5479;21,8517;22,1172;-3,38255;-0,638756;203,824;240,998;250,75;255;0;0;0
44901,39905;20,9746;20,9842;21,5866;21,5391;21,8435;22,1157;-3,36337;-0,647675;203,83;194,657;251,099;255;0;0;0
44901,39908;20,9753;20,9835;21,5877;21,5409;21,8509;22,1227;-3,38391;-0,653564;203,811;228,863;246,889;255;0;0;0
44901,3991;20,9673;20,9807;21,5844;21,5395;21,8442;22,1109;-3,36885;-0,652344;203,817;238,188;249,378;255;0;0;0
44901,39912;20,965;20,9771;21,5768;21,539;21,8363;22,117;-3,37128;-0,651314;203,802;241,422;249,367;255;0;0;0
44901,39914;20,9647;20,9769;21,5842;21,5403;21,8395;22,114;-3,37951;-0,647469;203,805;240,939;250,202;255;0;0;0
44901,39916;20,9727;20,9835;21,5821;21,5436;21,8459;22,1171;-3,37269;-0,652061;203,8;243,174;250,318;255;0;0;0
44901,39918;20,9781;20,9897;21,5883;21,5474;21,8518;22,1154;-3,37784;-0,648491;203,804;241,099;252,501;255;0;0;0
44901,3992;20,9743;20,9801;21,5817;21,5446;21,8474;22,1201;-3,35761;-0,641273;203,82;237,577;248,988;255;0;0;0
44901,39923;20,977;20,9881;21,5881;21,5439;21,8491;22,1266;-3,3734;-0,649498;203,822;242,017;249,452;255;0;0;0
44901,39925;20,9744;20,9838;21,5833;21,5455;21,8488;22,1224;-3,37716;-0,653961;203,817;241,065;250,947;255;0;0;0
44901,39927;20,9775;20,9831;21,5811;21,5393;21,8481;22,1219;-3,36628;-0,656326;203,832;238,92;249,364;255;0;0;0
44901,39929;20,97;20,9877;21,5899;21,5415;21,847;22,125;-3,37919;-0,647011;203,812;241,449;251,576;255;0;0;0
44901,39931;20,9731;20,9872;21,5847;21,5479;21,8415;22,1218;-3,38181;-0,644089;203,835;241,484;250,788;255;0;0;0
44901,39933;20,9755;20,9924;21,5898;21,552;21,8538;22,1277;-3,38546;-0,655579;203,825;240,713;249,64;255;0;0;0
44901,39935;20,9715;20,9846;21,5814;21,5521;21,8397;22,1292;-3,38355;-0,653542;203,82;240,439;250,847;255;0;0;0
44901,39938;20,9721;20,984;21,5887;21,5508;21,8534;22,1317;-3,38884;-0,661003;203,824;239,145;248,223;255;0;0;0
44901,3994;20,9684;20,9796;21,5863;21,5536;21,8437;22,1323;-3,37474;-0,645798;203,809;237,913;250,068;255;0;0;0
44901,39942;20,9714;20,9868;21,5821;21,5569;21,8452;22,1307;-3,38419;-0,656586;203,822;241,493;250,965;255;0;0;0
