Valor 1 : Tensão efectiva T3 (0s) [Dispositivo-2]
Número;Tempo;Valor 1-avg[V];Valor 1-min[V];Valor 1-max[V];
1;01/12/22 10:04:00'639;218,199;;;
2;01/12/22 10:04:01'294;218,249;;;
3;01/12/22 10:04:01'774;218,279;;;
4;01/12/22 10:04:02'254;218,261;;;
5;01/12/22 10:04:02'894;218,251;;;
6;01/12/22 10:04:03'374;218,245;;;
7;01/12/22 10:04:03'853;218,197;;;
8;01/12/22 10:04:04'493;218,261;;;
9;01/12/22 10:04:04'973;218,230;;;
10;01/12/22 10:04:05'453;218,273;;;
11;01/12/22 10:04:05'933;218,178;;;
12;01/12/22 10:04:06'413;218,181;;;
13;01/12/22 10:04:06'893;218,224;;;
14;01/12/22 10:04:07'373;218,191;;;
15;01/12/22 10:04:07'853;218,240;;;
16;01/12/22 10:04:08'333;218,262;;;
17;01/12/22 10:04:08'813;218,264;;;
18;01/12/22 10:04:09'293;218,272;;;
19;01/12/22 10:04:09'772;218,278;;;
20;01/12/22 10:04:10'252;218,243;;;
21;01/12/22 10:04:10'732;218,299;;;
22;01/12/22 10:04:11'371;218,264;;;
23;01/12/22 10:04:11'851;218,246;;;
24;01/12/22 10:04:12'332;218,243;;;
25;01/12/22 10:04:12'811;218,244;;;
26;01/12/22 10:04:14'508;218,195;;;
27;01/12/22 10:04:14'828;218,232;;;
28;01/12/22 10:04:15'308;218,229;;;
29;01/12/22 10:04:15'803;218,281;;;
30;01/12/22 10:04:16'282;218,241;;;
31;01/12/22 10:04:16'763;218,228;;;
32;01/12/22 10:04:17'243;218,228;;;
33;01/12/22 10:04:17'723;218,254;;;
34;01/12/22 10:04:18'043;218,199;;;
35;01/12/22 10:04:18'523;218,174;;;
36;01/12/22 10:04:19'003;218,232;;;
37;01/12/22 10:04:19'483;218,190;;;
38;01/12/22 10:04:19'963;218,237;;;
39;01/12/22 10:04:20'443;218,148;;;
40;01/12/22 10:04:20'923;218,184;;;
41;01/12/22 10:04:21'407;218,191;;;
42;01/12/22 10:04:22'042;218,189;;;
43;01/12/22 10:04:22'522;218,157;;;
44;01/12/22 10:04:23'002;218,172;;;
45;01/12/22 10:04:23'482;218,155;;;
46;01/12/22 10:04:23'962;218,162;;;
47;01/12/22 10:04:24'442;218,190;;;
48;01/12/22 10:04:24'922;218,163;;;
49;01/12/22 10:04:25'402;218,172;;;
50;01/12/22 10:04:25'722;218,242;;;
51;01/12/22 10:04:26'202;218,245;;;
52;01/12/22 10:04:26'682;218,233;;;
53;01/12/22 10:04:27'162;218,151;;;
54;01/12/22 10:04:27'642;218,215;;;
55;01/12/22 10:04:28'122;218,173;;;
56;01/12/22 10:04:28'601;218,171;;;
57;01/12/22 10:04:29'081;218,158;;;
58;01/12/22 10:04:29'560;218,199;;;
59;01/12/22 10:04:30'041;218,141;;;
