"22_12_14_1_ao_4.csv"
"14/12/2022 09:20:13"
""
16
"TIME"; "°C"; "°C"; "°C"; "°C"; "°C"; "°C"; "kPa"; "kPa"; "kPa"; "kPa"; "kPa"; "DIO"; "TOTAL"; "ALARM1"; "ALARM2"
"04TIME"; "0401"; "0402"; "0403"; "0404"; "0405"; "0406"; "0407"; "0408"; "0409"; "0410"; "0417"; "04DIO"; "04TOTAL"; "04ALARM1"; "04ALARM2"
44909,389070763; 20,1172; 19,8201; 20,5321; 20,8466; 20,8849; 21,9896; -4,07838; -1,51584; 238,940; -1,37093; 248,358; 255; 0; 0; 0
44909,389098136; 20,1148; 19,8142; 20,5372; 20,8494; 20,8855; 21,9873; -4,07326; -1,51031; 238,830; -1,36093; 247,934; 255; 0; 0; 0
44909,389119525; 20,1165; 19,8235; 20,5408; 20,8493; 20,8891; 21,9966; -4,07015; -1,50121; 239,608; -1,35351; 249,980; 255; 0; 0; 0
44909,389140914; 20,1169; 19,8232; 20,5419; 20,8516; 20,8959; 22,0007; -4,07469; -1,50287; 239,738; -1,36971; 248,168; 255; 0; 0; 0
44909,389162303; 20,1175; 19,8217; 20,5378; 20,8564; 20,8879; 22,0008; -4,07388; -1,51080; 239,561; -1,35858; 247,670; 255; 0; 0; 0
44909,389183692; 20,1148; 19,8159; 20,5404; 20,8570; 20,8923; 21,9990; -4,07802; -1,50401; 237,449; -1,36865; 249,358; 255; 0; 0; 0
44909,389205081; 20,1200; 19,8208; 20,5434; 20,8574; 20,8879; 21,9965; -4,08077; -1,50848; 238,936; -1,35788; 247,295; 255; 0; 0; 0
44909,389226469; 20,1170; 19,8237; 20,5418; 20,8484; 20,8951; 22,0023; -4,07378; -1,51154; 239,871; -1,36416; 246,275; 255; 0; 0; 0
44909,389247858; 20,1107; 19,8185; 20,5429; 20,8477; 20,8850; 21,9962; -4,06380; -1,50233; 239,446; -1,37497; 248,722; 255; 0; 0; 0
44909,389269247; 20,1164; 19,8180; 20,5360; 20,8526; 20,8910; 22,0013; -4,06605; -1,50488; 238,950; -1,36491; 250,038; 255; 0; 0; 0
44909,389290636; 20,1153; 19,8157; 20,5410; 20,8465; 20,8846; 22,0002; -4,06487; -1,50325; 238,509; -1,37035; 248,238; 255; 0; 0; 0
44909,389312025; 20,1102; 19,8199; 20,5420; 20,8512; 20,8892; 22,0015; -4,05965; -1,50129; 238,811; -1,36666; 249,146; 255; 0; 0; 0
44909,389333414; 20,1107; 19,8174; 20,5414; 20,8474; 20,8823; 21,9986; -4,08102; -1,51702; 239,207; -1,36523; 249,486; 255; 0; 0; 0
44909,389354803; 20,1121; 19,8198; 20,5366; 20,8505; 20,8834; 22,0056; -4,06947; -1,50036; 240,541; -1,35799; 248,287; 255; 0; 0; 0
44909,389376192; 20,1141; 19,8185; 20,5399; 20,8511; 20,8844; 22,0018; -4,07584; -1,50264; 240,146; -1,35920; 245,424; 255; 0; 0; 0
44909,389397581; 20,1118; 19,8136; 20,5351; 20,8411; 20,8889; 22,0052; -4,07863; -1,51063; 239,002; -1,36505; 249,083; 255; 0; 0; 0
44909,389418969; 20,1060; 19,8139; 20,5340; 20,8467; 20,8886; 22,0036; -4,07492; -1,50574; 238,499; -1,35842; 249,527; 255; 0; 0; 0
44909,389440358; 20,1094; 19,8206; 20,5414; 20,8489; 20,8849; 21,9997; -4,06550; -1,50488; 238,645; -1,37154; 246,740; 255; 0; 0; 0
