"22_12_12_1_ao_4.csv"
"12/12/2022 09:40:30"
""
16
"TIME"; "°C"; "°C"; "°C"; "°C"; "°C"; "°C"; "kPa"; "kPa"; "kPa"; "kPa"; "kPa"; "DIO"; "TOTAL"; "ALARM1"; "ALARM2"
"04TIME"; "0401"; "0402"; "0403"; "0404"; "0405"; "0406"; "0407"; "0408"; "0409"; "0410"; "0417"; "04DIO"; "04TOTAL"; "04ALARM1"; "04ALARM2"
44907,403156412; 21,0466; 21,0311; 21,6781; 21,6712; 21,6756; 20,0374; 241,619; 243,258; 240,460; -3,49059; 249,999; 255; 0; 0; 0
44907,403183576; 21,0401; 21,0341; 21,6770; 21,6775; 21,6672; 20,0358; 241,684; 242,559; 241,598; -3,47345; 250,128; 255; 0; 0; 0
44907,403204965; 21,0490; 21,0359; 21,6842; 21,6804; 21,6764; 20,0439; 241,217; 241,497; 240,253; -3,48457; 249,835; 255; 0; 0; 0
44907,403226342; 21,0460; 21,0392; 21,6821; 21,6832; 21,6738; 20,0498; 240,536; 244,414; 242,463; -3,49484; 250,063; 255; 0; 0; 0
44907,403247731; 21,0501; 21,0354; 21,6878; 21,6823; 21,6782; 20,0539; 242,076; 243,528; 241,205; -3,48289; 249,763; 255; 0; 0; 0
44907,403269120; 21,0544; 21,0390; 21,6894; 21,6828; 21,6764; 20,0554; 239,569; 240,754; 241,847; -3,49641; 250,318; 255; 0; 0; 0
44907,403290509; 21,0487; 21,0324; 21,6827; 21,6763; 21,6796; 20,0569; 240,648; 241,330; 240,285; -3,47382; 248,724; 255; 0; 0; 0
44907,403311898; 21,0558; 21,0371; 21,6864; 21,6796; 21,6770; 20,0614; 240,435; 242,892; 240,695; -3,47942; 250,317; 255; 0; 0; 0
44907,403333287; 21,0460; 21,0327; 21,6774; 21,6724; 21,6747; 20,0541; 239,806; 242,646; 242,102; -3,48863; 251,460; 255; 0; 0; 0
44907,403354675; 21,0500; 21,0308; 21,6821; 21,6719; 21,6729; 20,0589; 240,096; 239,591; 242,096; -3,48595; 251,083; 255; 0; 0; 0
44907,403376064; 21,0471; 21,0293; 21,6831; 21,6687; 21,6680; 20,0541; 242,636; 242,025; 239,590; -3,49947; 250,878; 255; 0; 0; 0
44907,403397453; 21,0497; 21,0273; 21,6769; 21,6750; 21,6734; 20,0544; 241,802; 244,216; 242,431; -3,48907; 249,576; 255; 0; 0; 0
44907,403418842; 21,0480; 21,0350; 21,6785; 21,6716; 21,6687; 20,0624; 241,627; 242,875; 240,296; -3,48997; 249,709; 255; 0; 0; 0
