"22_12_16_1_ao_4.csv"
"16/12/2022 10:34:58"
""
16
"TIME"; "°C"; "°C"; "°C"; "°C"; "°C"; "°C"; "kPa"; "kPa"; "kPa"; "kPa"; "kPa"; "DIO"; "TOTAL"; "ALARM1"; "ALARM2"
"04TIME"; "0401"; "0402"; "0403"; "0404"; "0405"; "0406"; "0407"; "0408"; "0409"; "0410"; "0417"; "04DIO"; "04TOTAL"; "04ALARM1"; "04ALARM2"
44911,440980127; 19,7932; 20,2039; 20,7984; 21,2206; 21,1173; 21,8666; 238,595; 0,511971; 240,076; -1,38072; 248,007; 255; 0; 0; 0
44911,441007395; 19,7933; 20,1965; 20,7970; 21,2246; 21,1136; 21,8687; 238,656; 0,506798; 238,416; -1,38409; 247,427; 255; 0; 0; 0
44911,441028773; 19,7905; 20,2049; 20,7997; 21,2297; 21,1096; 21,8677; 236,421; 0,498772; 240,043; -1,38767; 249,773; 255; 0; 0; 0
44911,441050162; 19,7946; 20,2052; 20,8016; 21,2307; 21,1157; 21,8637; 238,025; 0,502960; 240,329; -1,37568; 249,662; 255; 0; 0; 0
44911,441071550; 19,7932; 20,2009; 20,8026; 21,2271; 21,1139; 21,8676; 239,890; 0,495674; 240,186; -1,38852; 248,672; 255; 0; 0; 0
44911,441092939; 19,7957; 20,2072; 20,8060; 21,2256; 21,1104; 21,8640; 240,070; 0,514038; 239,077; -1,37763; 249,385; 255; 0; 0; 0
44911,441114328; 19,7951; 20,2054; 20,8000; 21,2335; 21,1154; 21,8623; 239,455; 0,512733; 239,606; -1,37895; 246,312; 255; 0; 0; 0
44911,441135717; 19,7935; 20,2012; 20,8026; 21,2377; 21,1128; 21,8574; 238,896; 0,499657; 239,613; -1,37395; 247,775; 255; 0; 0; 0
44911,441157106; 19,7919; 20,2025; 20,7983; 21,2281; 21,1095; 21,8491; 239,749; 0,510078; 238,227; -1,37350; 248,754; 255; 0; 0; 0
44911,441178506; 19,7945; 20,1970; 20,7937; 21,2309; 21,1121; 21,8483; 237,493; 0,497711; 239,995; -1,37944; 248,008; 255; 0; 0; 0
44911,441199895; 19,7898; 20,1976; 20,7943; 21,2296; 21,1156; 21,8448; 238,963; 0,505203; 237,787; -1,37338; 247,320; 255; 0; 0; 0
44911,441221273; 19,7908; 20,1990; 20,7946; 21,2283; 21,1068; 21,8453; 239,485; 0,508438; 238,645; -1,38235; 245,488; 255; 0; 0; 0
44911,441242673; 19,7894; 20,1959; 20,7961; 21,2282; 21,1129; 21,8442; 238,763; 0,509979; 240,222; -1,37754; 247,272; 255; 0; 0; 0
44911,441264062; 19,7884; 20,1927; 20,7930; 21,2308; 21,1129; 21,8366; 238,273; 0,505852; 237,887; -1,37737; 246,350; 255; 0; 0; 0
44911,441285451; 19,7819; 20,1946; 20,7917; 21,2274; 21,1043; 21,8243; 238,568; 0,494286; 239,464; -1,39008; 248,669; 255; 0; 0; 0
44911,441306828; 19,7874; 20,1921; 20,7942; 21,2263; 21,1036; 21,8275; 239,654; 0,505470; 237,101; -1,38664; 248,687; 255; 0; 0; 0
44911,441328217; 19,7805; 20,1947; 20,7850; 21,2236; 21,1063; 21,8260; 239,940; 0,498306; 239,963; -1,38940; 245,794; 255; 0; 0; 0
44911,441349606; 19,7830; 20,1876; 20,7906; 21,2210; 21,1064; 21,8304; 239,982; 0,491150; 239,424; -1,39625; 246,939; 255; 0; 0; 0
44911,441371006; 19,7888; 20,1923; 20,7919; 21,2272; 21,1029; 21,8237; 240,022; 0,506317; 240,581; -1,38660; 247,555; 255; 0; 0; 0
44911,441392384; 19,7874; 20,1878; 20,7863; 21,2244; 21,1049; 21,8333; 238,003; 0,498932; 238,351; -1,37732; 246,773; 255; 0; 0; 0
44911,441413773; 19,7964; 20,1981; 20,7972; 21,2273; 21,1118; 21,8376; 239,707; 0,508636; 240,081; -1,38576; 249,274; 255; 0; 0; 0
44911,441435162; 19,7925; 20,1971; 20,7981; 21,2280; 21,1136; 21,8432; 239,221; 0,503029; 236,348; -1,37765; 245,697; 255; 0; 0; 0
44911,441456550; 19,7933; 20,1895; 20,7954; 21,2354; 21,1070; 21,8465; 239,517; 0,494614; 239,041; -1,38624; 249,198; 255; 0; 0; 0
44911,441477939; 19,7968; 20,2002; 20,7978; 21,2329; 21,1161; 21,8481; 238,397; 0,496559; 237,718; -1,37129; 248,092; 255; 0; 0; 0
44911,441499328; 19,7905; 20,1919; 20,7916; 21,2368; 21,1182; 21,8433; 240,358; 0,501701; 240,436; -1,36282; 249,286; 255; 0; 0; 0
44911,441520729; 19,7924; 20,1974; 20,7936; 21,2351; 21,1140; 21,8420; 240,291; 0,502144; 239,916; -1,37189; 248,185; 255; 0; 0; 0
44911,441542118; 19,7865; 20,1828; 20,7876; 21,2251; 21,1071; 21,8305; 239,553; 0,498802; 238,219; -1,38473; 248,970; 255; 0; 0; 0
44911,441563506; 19,7840; 20,1904; 20,7858; 21,2213; 21,0989; 21,8353; 236,280; 0,508118; 239,322; -1,38193; 248,135; 255; 0; 0; 0
44911,441584895; 19,7802; 20,1881; 20,7847; 21,2226; 21,1006; 21,8379; 238,668; 0,498337; 239,393; -1,37758; 248,607; 255; 0; 0; 0
44911,441606284; 19,7785; 20,1843; 20,7907; 21,2193; 21,1020; 21,8441; 238,822; 0,502869; 238,309; -1,38654; 248,396; 255; 0; 0; 0
44911,441627673; 19,7856; 20,1880; 20,7872; 21,2216; 21,1032; 21,8446; 239,697; 0,501282; 239,199; -1,38873; 248,345; 255; 0; 0; 0
44911,441649062; 19,7870; 20,1836; 20,7835; 21,2237; 21,1056; 21,8437; 240,854; 0,500877; 238,739; -1,39580; 247,417; 255; 0; 0; 0
44911,441670451; 19,7868; 20,1848; 20,7883; 21,2216; 21,1064; 21,8468; 239,862; 0,504265; 239,366; -1,39550; 249,288; 255; 0; 0; 0
44911,441691840; 19,7894; 20,1892; 20,7839; 21,2266; 21,1052; 21,8441; 238,429; 0,504669; 239,473; -1,39075; 247,341; 255; 0; 0; 0
44911,441713229; 19,7881; 20,1813; 20,7928; 21,2205; 21,1021; 21,8460; 239,976; 0,517326; 238,480; -1,39106; 249,697; 255; 0; 0; 0
44911,441734618; 19,7891; 20,1837; 20,7854; 21,2233; 21,1053; 21,8515; 240,460; 0,512367; 239,736; -1,39376; 248,387; 255; 0; 0; 0
44911,441756006; 19,7870; 20,1881; 20,7885; 21,2218; 21,1054; 21,8589; 240,631; 0,499016; 239,998; -1,38642; 250,956; 255; 0; 0; 0
44911,441777395; 19,7838; 20,1855; 20,7898; 21,2240; 21,1035; 21,8587; 237,704; 0,511955; 239,218; -1,37759; 249,775; 255; 0; 0; 0
