22_12_13_1_ao_4.csv;;;;;;;;;;;;;;;
13/12/2022 08:04;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44908,33753;20,4998;20,2513;20,2524;19,9189;20,1113;19,9113;241,885;243,813;239,688;-1,50163;248,862;255;0;0;0
44908,33755;20,503;20,2459;20,2505;19,9088;20,1063;19,9124;242,58;242,402;241,419;-1,49064;249,456;255;0;0;0
44908,33757;20,5011;20,2455;20,2538;19,9117;20,1019;19,9182;241,299;240,819;241,549;-1,50056;249,979;255;0;0;0
44908,33759;20,5009;20,2494;20,2482;19,9136;20,108;19,9247;242,156;243,278;239,137;-1,49352;248,565;255;0;0;0
44908,33762;20,5023;20,2463;20,2494;19,9173;20,1036;19,924;242,23;242,234;240,868;-1,48543;248,42;255;0;0;0
44908,33764;20,5005;20,2498;20,2538;19,9155;20,1109;19,9297;239,701;242,685;242,307;-1,50001;251,133;255;0;0;0
44908,33766;20,4998;20,2458;20,2474;19,9173;20,1022;19,9401;240,937;242,449;240,22;-1,5001;250,541;255;0;0;0
44908,33768;20,5106;20,255;20,2568;19,9138;20,1162;19,9526;241,045;242,897;241,271;-1,49253;250,521;255;0;0;0
44908,3377;20,5114;20,2524;20,2605;19,9175;20,1116;19,9635;240,027;240,878;240,254;-1,49444;248,761;255;0;0;0
44908,33772;20,5071;20,2508;20,2565;19,914;20,105;19,9663;241,416;243,633;240,017;-1,49534;249,691;255;0;0;0
44908,33774;20,5086;20,2563;20,2574;19,9187;20,1082;19,9725;242,125;243,868;241,529;-1,49586;251,611;255;0;0;0
44908,33777;20,507;20,2532;20,2599;19,9204;20,1115;19,9867;240,961;242,076;241,494;-1,4861;247,392;255;0;0;0
44908,33779;20,5095;20,2506;20,2571;19,9206;20,1089;19,9952;239,82;244,282;241,04;-1,49207;250,603;255;0;0;0
44908,33781;20,5008;20,2483;20,2543;19,9144;20,1065;19,9973;240,226;241,32;240,609;-1,49622;250,928;255;0;0;0
44908,33783;20,5062;20,245;20,248;19,9145;20,0988;20,0041;242,559;242,47;240,179;-1,49088;249,863;255;0;0;0
44908,33785;20,5006;20,2452;20,2484;19,9075;20,107;20,0086;238,112;243,373;241,706;-1,49474;249,538;255;0;0;0
44908,33787;20,4999;20,2514;20,2493;19,912;20,1055;20,0164;241,618;244,631;240,94;-1,48436;251,776;255;0;0;0
44908,33789;20,4992;20,2482;20,2551;19,916;20,1028;20,0284;241,506;242,521;241,613;-1,48344;249,505;255;0;0;0
44908,33792;20,507;20,2483;20,2462;19,9105;20,1099;20,0358;238,337;244,517;241,221;-1,49032;249,313;255;0;0;0
44908,33794;20,5016;20,2507;20,249;19,916;20,1082;20,0401;241,944;244,443;239,834;-1,49418;248,329;255;0;0;0
44908,33796;20,505;20,2492;20,2523;19,9143;20,1082;20,0414;240,892;241,482;239,616;-1,49001;249,614;255;0;0;0
44908,33798;20,5027;20,2432;20,2474;19,9088;20,101;20,049;242,064;241,867;240,123;-1,49555;250,656;255;0;0;0
44908,338;20,5023;20,2434;20,2475;19,908;20,1074;20,0522;241,668;241,862;241,624;-1,49831;249,209;255;0;0;0
44908,33802;20,5021;20,2461;20,2519;19,9104;20,0995;20,066;242,19;243,388;240,726;-1,50119;248,529;255;0;0;0
44908,33804;20,5023;20,2437;20,2448;19,912;20,1073;20,099;242,641;240,999;242,262;-1,49796;250,756;255;0;0;0
44908,33807;20,5079;20,2558;20,2576;19,9199;20,108;20,1958;240,104;241,316;242,204;-1,49985;251,025;255;0;0;0
44908,33809;20,5073;20,2507;20,2567;19,9219;20,1113;20,3486;241,079;242,135;241,069;-1,48983;250,722;255;0;0;0
44908,33811;20,5109;20,2621;20,2575;19,9196;20,1148;20,5207;241,258;243,075;239,731;-1,48981;249,941;255;0;0;0
44908,33813;20,514;20,2539;20,2631;19,9271;20,1158;20,6686;241,603;242,198;242,162;-1,48682;250,76;255;0;0;0
44908,33815;20,5108;20,2568;20,2607;19,9247;20,1172;20,8259;240,964;243,165;241,826;-1,48421;247,679;255;0;0;0
44908,33817;20,5135;20,2616;20,2606;19,9224;20,119;20,9515;240,464;243,012;238,984;-1,49186;249,972;255;0;0;0
44908,33819;20,5077;20,2531;20,2556;19,9192;20,1074;21,064;241,107;241,242;238,61;-1,49684;251,398;255;0;0;0
44908,33822;20,5148;20,2563;20,2548;19,9171;20,1145;21,1469;242,753;243,072;240,136;-1,49165;249,045;255;0;0;0
44908,33824;20,5067;20,249;20,2584;19,9126;20,108;21,2063;239,074;243,462;241,395;-1,49296;251,587;255;0;0;0
44908,33826;20,5038;20,2513;20,261;19,9197;20,1118;21,2647;240,167;241,293;240,612;-1,49;249,016;255;0;0;0
44908,33828;20,5127;20,2516;20,2567;19,9154;20,1121;21,3154;243,681;242,877;240,342;-1,47926;248,825;255;0;0;0
44908,3383;20,5121;20,2534;20,254;19,9182;20,1104;21,3599;241,633;241,197;240,135;-1,48286;249,659;255;0;0;0
44908,33832;20,5015;20,252;20,2514;19,9119;20,1114;21,4078;242,284;243,232;240,388;-1,49914;251,062;255;0;0;0
44908,33834;20,5007;20,2467;20,2567;19,9109;20,1088;21,4583;240,83;242,528;240,481;-1,50057;250,507;255;0;0;0
44908,33836;20,5043;20,2537;20,2521;19,9191;20,1083;21,502;237,677;241,735;239,766;-1,50073;250,699;255;0;0;0
44908,33839;20,5081;20,2503;20,2539;19,9156;20,108;21,5519;241,136;244,268;239,416;-1,49226;250,003;255;0;0;0
44908,33841;20,5053;20,2488;20,2534;19,9238;20,1077;21,5933;241,954;243,755;240,502;-1,48603;248,565;255;0;0;0
44908,33843;20,5062;20,2492;20,252;19,9141;20,1142;21,6399;241,092;242,25;239,482;-1,48219;249,809;255;0;0;0
44908,33845;20,5032;20,2493;20,2564;19,916;20,1067;21,6599;240,256;243,2;239,196;-1,48241;250,307;255;0;0;0
44908,33847;20,5007;20,2457;20,2574;19,9125;20,1137;21,6888;239,827;243,176;241,896;-1,48566;250,762;255;0;0;0
44908,33849;20,5011;20,2468;20,2517;19,916;20,1076;21,718;241,881;243,922;241,99;-1,48361;251,017;255;0;0;0
44908,33851;20,4983;20,245;20,2466;19,9114;20,1064;21,7476;240,502;241,676;240,876;-1,49107;252,2;255;0;0;0
44908,33854;20,4963;20,2444;20,2511;19,9062;20,1072;21,7737;241,328;243,148;240,177;-1,48125;249,41;255;0;0;0
44908,33856;20,4986;20,2467;20,2523;19,9078;20,1035;21,807;239,924;241,552;239,028;-1,49017;249,861;255;0;0;0
44908,33858;20,5033;20,2443;20,2542;19,9173;20,1128;21,8405;240,399;242,709;240,517;-1,48894;250,856;255;0;0;0
44908,3386;20,5089;20,2504;20,2584;19,9165;20,1101;21,8612;242,222;243,282;240,573;-1,48598;248,72;255;0;0;0
44908,33862;20,51;20,2446;20,2594;19,9206;20,1053;21,8837;240,908;242,601;238,419;-1,50057;249,344;255;0;0;0
44908,33864;20,5112;20,251;20,2589;19,922;20,1133;21,8913;241,412;243,737;241,051;-1,48577;250,86;255;0;0;0
44908,33866;20,5124;20,2519;20,2559;19,9214;20,1093;21,9052;240,201;242,449;240,05;-1,49311;251,004;255;0;0;0
44908,33869;20,5126;20,2531;20,2581;19,9179;20,1115;21,9177;242,088;243,703;242,075;-1,49721;250,59;255;0;0;0
44908,33871;20,5047;20,2458;20,2576;19,9104;20,1115;21,9239;242,3;243,791;240,139;-1,49115;250,554;255;0;0;0
